PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,candidaturas_mun
0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,23612,11,,1,103549.17,-8.4799995,-36.23,PE,CACHOEIRINHA,PREFEITO,COLIGACAO,PSB,É PRA FRENTE QUE SE ANDA,PSB / PSD / PP / PSC / PC do B / PSDB,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23612,11,,1,103549.17,-8.4799995,-36.23,PE,CACHOEIRINHA,PREFEITO,COLIGACAO,PMDB,CACHOEIRINHA TEM HISTÓRIA,PMDB / DEM,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2016,23639,11,,1,125469.41,-8.7700005,-36.619999,PE,CAETÉS,PREFEITO,COLIGACAO,PSB,FRENTE POPULAR DE CAETES,PSB / PSL / PMDB / PR / PV / DEM,2
0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,23639,11,,1,125469.41,-8.7700005,-36.619999,PE,CAETÉS,PREFEITO,COLIGACAO,PTB,CAETES NO RUMO CERTO,PTB / PT do B / PSDB / PP / PTC,2
1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23655,11,,1,73477.391,-8.7399998,-36.330002,PE,CALÇADO,PREFEITO,COLIGACAO,PP,AVANÇANDO COM A FORÇA DO POVO,PP / PMDB / PR / PRB / PSB,2
0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,23655,11,,1,73477.391,-8.7399998,-36.330002,PE,CALÇADO,PREFEITO,COLIGACAO,PSD,CALÇADO PARA OS CALÇADENSES,PSD / DEM / PSC / PPS,2
1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,23671,11,,1,47440.477,-7.9400001,-38.150002,PE,CALUMBI,PREFEITO,COLIGACAO,PT,UNIDOS PELA MUDANÇA,PT / PTB / PSL / PSD / PC do B / PMDB / PDT,3
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,23671,11,,1,47440.477,-7.9400001,-38.150002,PE,CALUMBI,PREFEITO,COLIGACAO,PSB,VAMOS FAZER JUNTOS O CALUMBI QUE QUEREMOS!,PSB / PROS / SD / PR,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23671,11,10,0,47440.477,-7.9400001,-38.150002,PE,CALUMBI,PREFEITO,PARTIDO ISOLADO,PRB,#NULO#,PRB,3
0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,23698,11,,1,95481.117,-8.3500004,-35.759998,PE,CAMOCIM DE SÃO FÉLIX,PREFEITO,COLIGACAO,PTB,UNIDOS PRA AVANCAR,PTB / PRB / PSC / PTC / PT do B,2
